manufacturer,events_present,total_apex_lots,avg_P,avg_Q,avg_R,MAI_score
Ferrari,3,20,0.307937,1.0,1.0,0.310107
Aston Martin,2,5,0.191667,1.0,1.0,0.192722
Lamborghini,2,7,0.153571,1.0,1.0,0.149656
Porsche,3,6,0.112698,1.0,1.0,0.110576
Alfa Romeo,1,3,0.107143,1.0,1.0,0.107143
Ford,1,1,0.083333,1.0,1.0,0.083333
MG,1,1,0.083333,1.0,1.0,0.083333
BMW,1,1,0.083333,1.0,1.0,0.083333
McLaren,1,1,0.083333,1.0,1.0,0.083333
Miller,1,2,0.071429,1.0,1.0,0.071429
RUF,2,3,0.060714,1.0,1.0,0.061618
Mercedes-Benz,2,3,0.060714,1.0,1.0,0.061618
Maserati,1,1,0.05,1.0,1.0,0.05
Nissan,1,1,0.05,1.0,1.0,0.05
Bugatti,2,2,0.042857,1.0,1.0,0.042255
Jaguar,1,1,0.035714,1.0,1.0,0.035714
OSCA,1,1,0.035714,1.0,1.0,0.035714
Shelby,1,1,0.035714,1.0,1.0,0.035714
